,question_cleaned
1944,james joyce novel becomes musical whose character include stephen dedalus aldonza sancho panza
1945,invented edwin land first instant camera
1946,sickly dickens character who devoted susan sarandon
1947,man seen born oxford among greatest physicist time
1948,atmosphere sphere greek stone
1949,compass point toward north pole
1950,bear appeared epoch right pliocene
1951,letter suffix used form chemical term esp name sugar carbohydrate
1952,david copperfield wilkins first name kindhearted optimist
1953,branch chemistry deal carbon compound
1954,maid orleans monument end champ elysees
1955,shorthand teacher emma dearborn originated fast form shorthand around
1956,statue gal holding one bug enterprise ala praise pushing town try new crop
1957,new zealandborn dame ngaio marsh became famous work field fiction
1958,walt whitman section song longest work collection first published
1959,singer cherie amour whose secret identity diana prince
1960,ute legend say great spirit created life peak discovered
1961,lithium lightest element occurs state matter room temperature
1962,depending book could jones sawyer uncle
1963,judith krantz royally bloomed henry james heroine
1964,leonardo da vincis portrait michael jackson exwife
1965,hybrid theory meteora album altmetal band thats secondpriciest monopoly property
1966,believe think fiend say heathcliff dismal laugh novel
1967,thesis author known developing new variety fruit vegetable
1968,thin piece disputed israelipalestinian land involved clothesshedding card game
1969,carolyn keenes fictional teenage detective star sitcom set cleveland
1970,symbol radioactive element pu sound like named mickey mouse dog
1971,grammywinning exmenudo singing sensation became th u president
1972,number time year snow goose set migration
1973,trendsetting sport network new host jc chasez joey fatone lance bass
1974,u banned used freon propellant
1975,france willard president wctu first woman honored capitol building hall
1976,churchill saying liberal heart conservative
1977,dec george washington bade officer farewell new york city tavern
1978,bacon rebellion st permanent english settlement america burned ground
1979,may gen benjamin lincoln forced surrender south carolina port british
1980,based character anne robert novel mandarin jeanpaul sartre
1981,erosion created fjord drumlin
1982,used martial art hand weapon stick joined cord chain also called karate stick
1983,puerto ricans eat mofongo mashed plantain dish get strong flavor clove
1984,put notebook andromeda like milky way galaxy shape
1985,october senate ratified treaty land acquisition
1986,though earth isnt perfect sphere eastern western half called
1987,april sooner staked claim hour ahead schedule guthrie city territory land grab
1988,mollusk algae dinosaur last one appear earth
1989,colorless flammable hydrocarbon found gasoline number
1990,element whose symbol zr alphabetically last element
1991,bratpacker western starring rock band charted welcome jungle
1992,flag chile one fewer u flag
1993,he livin la vida loca since launched protestant reformation
1994,object scottish highland game make sure log leaf hand travel straight
1995,length jupiter less hour
1996,jerry maguire star automatically maintains vehicle speed
1997,many gem sold topaz actually citrine variety stone
1998,gas symbol xe used stroboscope highspeed camera flash
1999,alex haley first major work autobiography black militant leader
2000,first black congresswoman along route cattle driven texas kansa
2001,brother demonstrated hot air balloon louis xvi marie antoinette
2002,noble gas one lowest atomic weight
2003,nyc museum rd street paul simon singing partner
2004,russian empress pip dickens novel
2005,new england leader took part hartford convention discus opposition war
2006,third published novel sartoris first set yoknapatawpha county
2007,whole lot shakin go science deal almost exclusively earthquake
2008,citrus drink franchise owned conqueror gaul
2009,seal hit song smooching president mom
2010,study scarlet told holmes fact journal public shall know
2011,served third u president first president confederate state america
2012,part corkscrew type simple machine reworked spiral form
2013,born tennessee davy crockett died whats state
2014,denmark gorm dynasty began gorm next harald bluetooth sven forkthis facial feature
2015,iva aguino received presidential pardon better known nickname
2016,u marine killed truck bomb barrack mideast capital
2017,snake come equipped special tooth named used break
2018,weakest basic force strong enough keep moon orbiting earth
2019,congress passed collection bill control domestic dissent conspiracy federal govt
2020,daughter famed pair nobel prize discovery artificial radioactivity
2021,carbonated beverage thats around mulberry bush
2022,candle wind singer boldly signed declaration independence first
2023,selfgoverning outlying area u acquired spain
2024,timbo elephant lived shambala retreat former hitchcock movie actress liked fed clorets
2025,drew carey game show thats constitutionally guaranteed second amendment
2026,dr zhivago aroused much opposition soviet union said nyet nobel prize
2027,albert ghiorso lawrence berkeley national lab hold record discovering
2028,edward brooke first african american hold post state eric holder first federal one
2029,malleable metal beaten sheet tenthousandth millimeter thick
2030,outbreak hostility civil war president senate
2031,army doctor discovered yellow fever transmitted clarinet bassoon
2032,convicted witch executed way salem massachusetts
2033,em forster novel divided section mosque cave temple
2034,founded la rentacar agency acquired chrysler
2035,conservative syndicated columnist who sitcom starring eric mccormack debra messing
2036,drumlin elongated elliptical hill formed edge moving ice mass
2037,vh show rise fall comeback prof harold hill sang trombone
2038,almost entire mass atom contained central portion
2039,duke york granted land west hudson river supporter named
2040,became first brother president appointed cabinet position
2041,nixon attygen e richardson resigned watergate prosecutor cox fired night week
2042,congress passed act forbade american ship trading abroad lasted year
2043,william makepeace thackeray wrote love passage charlotte bronte work made cry
2044,volunteer group born may near bar san antonios menger hotel existed day
2045,time futuristic aldous huxley novel measured invention model ford
2046,bone collector star penned rip van winkle
2047,weightloss program star tv coach voice mr incredible incredibles
2048,rollin river ccr tune founded christian science
2049,potage biblical character sold birthright made lentil
2050,sarah clue crew demonstrates science experiment iron wire heat electricity flow shorten wire melt result electrical condition excess flow charge
2051,george eliot novel subtitled weaver raveloe
2052,nobel prize winner dedicated waste land fellow poet ezra pound
2053,watergate scandal led resignation u president
2054,henry h arnold became first general branch armed force
2055,martial art said inspired slow sinuous movement snake
2056,astroblame scar earth surface caused one
2057,hemorrhoid remedy old baltimore sun essayist
2058,hi im nobel laureate rudy marcus chemical formula dry ice
2059,night december celebrated actress played jan brady
2060,nexttolast chapter novel entitled knitting done
2061,robert jordan big mission bell toll blow one structure
2062,southern california beach town interned white house
2063,first published berence called horrifying tale
2064,christian death drama title character still act platonic friend widow
2065,make room daddy star chronicled jude obscure
2066,fdr democrat vermont supported president since civil war
2067,orwell novel ministry peace also known minipax concern war
2068,lou jacob clowned around circus year
2069,wellknown ambrose bierce short story incident bridge northern alabama
2070,pole star brightest one constellation ursa minor
2071,poor amoeba reproduce
2072,computer kind base know plural datum
2073,thomas ewing logician west became usa first secy cabinet dept
2074,herman wouk pulitzer prize novel world war ii
2075,great white whale hosted american bandstand
2076,proverbial biblical skeptic invented many thing wizard menlo park
2077,literature restoration refers period return king england throne
2078,star contact who behind brand sunglass
2079,ash wednesday movable feast falling many day excluding sunday easter
2080,battle palo alto fought may first battle war
2081,unit measure weather abbreviated mb
2082,scientist found ripple cbr cosmic background whose existence support big bang theory
2083,liberator king scotland starred die hard
2084,breakfast dish hollandaise prepared traitor
2085,name nuptial magazine word follows southern southern calif modern
2086,may patrick henry stamp act protest interrupted one word
2087,electromagnetic ray used take picture inside originally known roentgen ray
2088,george shelby dedicates life abolition harriet beccher stowe novel
2089,ive mind state joined union time
2090,chapter classic novel called another view hester
2091,world war woman job known hello girl
2092,landmark bell london clock tower marries jennifer garner hang matt damon
2093,amoeba use temporary extension called move surround engulf food
2094,classic western novel walter van tilburg clark set incident valley
2095,first name girl also burger without bun
2096,peter rabbit mischievous cousin enters mr mcgregors garden us beginner ski run
2097,rashcausing leafed shrub part collegiate group dartmouth harvard
2098,american playwright beth henley pulitzer prize criminal play
2099,outline law motion philosophiae naturalis principia mathematica
2100,candy made crystallizing
2101,earned captain commission burning philadelphia tripoli
2102,air force general george wallace running mate celebrated pole dancer spring
2103,mri stand cannot used patient pacemaker artificial metal joint
2104,related fear falling climacophobia fear climbing
2105,country music ropin wind singer line classic suit
2106,april attempt rescue hostage capital city called
2107,thatll day leader cricket win oscar piano
2108,leader pop music funky bunch wrote tom sawyer
2109,name noble gas greek new
2110,ozymandias poet played lolita mom film
2111,last week john tyler administration republic offered statehood
2112,haitian folk belief soulless corpse reanimated voodoo priest bocor
2113,battle san jacinto sam houston took mexican leader prisoner
2114,mass number defined number neutron particle atom nucleus
2115,wheel fortune star turn banner surrender
2116,unit represents explosive power billion pound tnt
2117,old cat mouse team throw chair daytime talk show
2118,bonus work school net piece plastic visa
2119,portly yankee slugger became svelte supreme court justice
2120,james jones novel thin red line sequel work
2121,paradise lost poet considered tv st male comedy star
2122,dynamic duo fight champagne wish caviar dream
2123,custer last stand also known oxymoronic name little big
2124,fleegle bingo unthinkingly make controversial grammatical decision
2125,former snl comedienne musical demon barber fleet street
2126,west virginia became state wheeling capital city became permanent capital
2127,proposed state franklin became part new state
2128,budd schulbergs novel harder fall deal corrupt practice sport
2129,several century chinese used negative number people india came concept number
2130,craig ferguson proud glaswegiana native city
2131,serving briefly reagan didnt sign dollar bill bush appointed treasury secretary
2132,friend actor traveled time become erle stanley gardner character
2133,men serving prison sentence riot pardoned governor illinois
2134,john c fremont crossed sierra nevada john c became secretary state
2135,leif ericsons dad huge star low surface temperature
2136,didnt want make mistake following south instead north platte pioneer trail
2137,subtitled tale acadie longfellow poem describes tragic romance acadian woman
2138,paul riesling sinclair lewis realtor one true friend shoot wife sent prison
2139,property body opposes electric current moving
2140,treaty ending mexicanamerican war added square mile u territory
2141,orbiting buckeye senator fatal attraction michael douglas
